,Item,Count
5692,Gaumont-British Picture Corporation,1
6053,Gaumont Columbia Tristar Films,1
153,Pathé Exchange,28
443,Pathé,12
754,RKO Pathé Pictures,8
1190,Pathé Entertainment,5
1568,Astral Bellevue Pathé,4
1757,Pathé Renn Productions,3
1888,Pathé Pictures International,3
2273,Pathé Frères,3
3382,MGM-Pathé Communications,2
8467,Pathé-America Distributing Company,1
9548,Pathé Consortium Cinéma,1
9686,Pathé Films,1
10761,British Pathé,1
12091,Pathé Productions,1
51,StudioCanal,76
11188,Nordisk Film & TV Fond,1
175,Constantin Film,26
48,Castle Rock Entertainment,78
19,Monogram Pictures,173
63,Allied Artists Pictures,65
842,Allied Artists,7
12,New Line Cinema,261
30,Relativity Media,113
29,Orion Pictures,123
90,Revolution Studios,48
287,AVCO Embassy Pictures,17
78,The Weinstein Company,56
8011,Weinstein Brothers Productions,1
8,Republic Pictures,323
270,Republic Pictures (II),18
4448,Republic Pictures International,1
6901,"Republic Studio Organization, The",1
8344,Republic Entertainment,1
9091,Republic Pictures Corp. (I),1
10983,Republic Entertainment International,1
1708,FilmDistrict,4
42,Focus Features,86
43,PolyGram Filmed Entertainment,85
3610,Polygram Pictures,2
4637,PolyGram Video,1
5755,Polygram Entertainment,1
9724,PolyGram Broadway Ventures,1
116,Artisan Entertainment,38
383,Overture Films,14
39,Summit Entertainment,91
28,Cannon Group,125
17,Miramax,205
2580,Miramax Animation,2
1084,Weintraub Entertainment Group,6
75,CBS,58
221,CBS Entertainment Productions,21
655,CBS Films,9
988,CBS Studios,6
1010,CBS Productions,6
1355,CBS Theatrical Films,4
3055,CBS Music Video (CMV) Enterprises,2
3863,CBS Television Network,2
5809,CBS Drama,1
7893,CBS News Productions,1
10392,Alchemy Films,1
12337,Alchemy Filmworks,1
579,Cinerama Productions Corp.,10
1099,Cinerama Releasing Corporation,6
518,National General Pictures,11
2324,National General Production Inc.,3
1700,Commonwealth United Entertainment,4
60,American Broadcasting Company (ABC),71
122,ABC Circle Films,37
440,ABC Pictures,12
762,ABC Family Worldwide,8
954,ABC Productions,6
1324,Nomura Babcock & Brown,5
1716,ABC Studios,4
2277,ABC Motion Pictures,3
2365,ABC Entertainment,3
2487,Capital Cities/ABC Video Enterprises Inc.,2
3195,ABC Television,2
4614,ABC Pictures International,1
9555,ABC News,1
54,New World Pictures,75
213,Turner Network Television,21
350,Turner Pictures (I),14
515,Turner Entertainment,11
576,Turner Pictures,10
3902,Turner Broadcasting System,2
4036,Turner Classic Movies,2
5353,Turner Studios,1
8289,Turner Pictures Worldwide,1
8365,Turner Feature Animation,1
9320,Helfgott-Turner Productions,1
245,Marvel Studios,19
484,Marvel Enterprises,11
1016,Marvel Productions,6
1326,Marvel Entertainment,5
1944,Marvel Animation,3
6359,Marvel Knights,1
105,Pixar,41
49,Samuel Goldwyn Productions,77
177,Samuel Goldwyn Company,25
250,Samuel Goldwyn Films,19
